scenario_id,roaduser_id,user_type,strategy
97,p282,1,0
97,p283,1,0
98,c40,2,0
98,c67,2,0
98,p321,1,1
99,c45,2,1
99,c68,2,1
99,p228,1,0
99,p171,1,0
100,c301,2,0
100,c80,2,0
100,p209,1,1
101,c93,2,1
101,c121,2,1
101,p349,1,0
101,p350,1,0
102,c97,2,1
102,c128,2,1
102,p437,1,0
102,p438,1,0
102,c127,2,1
103,c199,2,1
103,p761,1,0
103,p762,1,0
103,c229,2,1
103,p688,1,0
104,c212,2,0
104,c243,2,0
104,p867,1,1
