,scenario_id,roaduser_id,strategy,max_speed
0,1,v17,1,2.961000499238561
1,2,v22,1,3.4638987195379567
2,3,v23,1,3.0766741338175367
3,4,v23,1,3.0766741338175367
4,5,v25,1,2.7486233109461318
5,6,v25,1,2.7486233109461318
6,7,v25,1,2.7486233109461318
7,8,v6,1,4.886051196940277
8,9,v28,1,2.884718312824325
9,9,v29,1,2.870397507186764
10,10,v31,1,2.3750564022278557
11,11,v31,1,2.3750564022278557
12,12,v33,1,2.3019187840279884
13,12,v34,1,2.4489787812312374
14,13,v10,1,2.9390518605306086
15,14,v34,1,2.4489787812312374
16,15,v13,1,1.9727189348308176
17,16,v13,1,1.9727189348308176
18,16,v14,1,2.5422551726008
19,17,v14,1,2.5422551726008
20,18,v36,1,4.5172622990160445
21,19,v37,1,2.800071702765948
22,20,v37,1,2.800071702765948
23,21,v38,1,3.4030131423777057
24,22,v38,1,3.4030131423777057
25,23,v38,1,3.4030131423777057
26,24,v38,1,3.4030131423777057
27,25,v15,1,4.58133217432574
28,26,v39,1,3.0498785064312237
29,27,v16,1,3.681532609680025
30,28,v40,1,1.725115698949378
31,29,v41,1,2.4250643666297664
32,30,v68,1,2.365795782134314
33,31,v69,1,2.789486474185264
34,32,v45,1,2.0927612571116976
35,33,v49,1,2.984524148018826
36,34,v51,1,1.981082100746606
37,35,v51,1,1.981082100746606
38,36,v73,1,3.364541485294413
39,37,v74,1,3.025631461998358
40,38,v74,1,3.025631461998358
41,38,v75,1,3.3438692252402715
42,39,v74,1,3.025631461998358
43,40,v77,1,3.6571686791739104
44,41,v52,1,3.811716759053868
45,42,v301,1,2.752431671600109
