,s_id,user_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,cluster
0,1,p1,50.131,40.6929,55.57954359094247,25.06397924247511,0.8219144724361532,1.1777978871359875,25.0,1.0,1,1
1,1,p2,48.6175,40.335,54.10254201084354,19.7614529789606,1.5310330630002738,1.6213040476059093,29.0,9.0,1,0
2,1,p55,53.1437,30.4864,46.48441364458887,46.024829494713366,0.940012053114214,1.2355396476850151,21.0,2.0,1,1
3,1,p83,64.5442,36.4588,57.54844340060684,50.25675413178724,0.6819681664124799,0.9524026457892188,26.0,1.0,1,0
4,1,p84,65.2087,36.0438,58.27459264646763,50.73388513362932,0.6973640799467664,0.9748615802555008,26.0,1.0,1,0
5,1,p85,64.5348,35.3247,57.356576111388605,50.0043393180746,1.0879830881038548,0.9946427573413136,29.0,3.0,1,0
6,2,p91,69.717,38.9688,53.73006667008746,47.38611182329166,1.1164041248580194,1.1109524111339537,80.0,52.0,1,0
7,2,p92,71.0087,39.1994,54.5772045579839,47.95271981824074,1.1005086324059434,1.1957874611905883,81.0,54.0,1,0
8,2,p93,70.3299,39.8687,55.16740315373068,48.3379486528901,0.8699513204771863,1.2243309186093905,81.0,56.0,1,0
9,3,p94,65.5427,35.8089,56.07865580407115,49.658060564296896,1.1486699961259543,1.1843072091720634,94.0,74.0,1,0
10,3,p95,66.124,35.5369,55.897335685241224,49.02641803749842,1.1599554517307982,1.144554992402553,95.0,74.0,1,0
11,3,p96,66.6975,35.6573,55.66900443596329,49.04509051029125,1.2359481097521854,1.142361451448929,96.0,74.0,1,0
12,3,p133,58.0206,43.4255,68.4200684836871,32.84127474504424,0.5663003619988248,1.041211498132481,118.0,80.0,1,2
13,3,p134,57.5141,42.9191,66.23565356781319,32.143502395304466,0.2426860111337281,1.1812809031571756,123.0,82.0,1,1
14,4,p136,57.6834,43.1069,70.23490392371708,34.099381434928496,0.4729291913172626,0.9618194015377174,121.0,95.0,1,1
15,5,p4,51.114,40.5523,54.16753578538528,20.772234471987524,1.1909373829047436,1.4819582541586538,139.0,119.0,1,0
16,5,p5,48.4531,40.6397,50.88853039900381,22.172420560913075,0.9431356742272026,1.3078986987397698,142.0,120.0,1,0
17,5,p6,50.0058,41.426,51.91000571584625,20.629228384333523,1.0218082109672049,1.3114773007123317,144.0,120.0,1,2
18,5,p7,50.0225,41.3645,59.739648015761226,30.435823537224564,1.0723044810127391,1.343517699450373,139.0,125.0,1,2
19,5,p8,49.9837,40.425,59.50131865698196,30.333081375429288,1.0553680163810155,1.327851446253869,139.0,126.0,1,2
20,6,p57,54.1913,29.705,47.30152393193268,45.81230399696724,0.8524375930236769,0.9948284873752974,159.0,132.0,1,0
21,6,p58,53.5402,28.9162,46.7432375702295,44.796139162196816,1.1535969226727334,0.9545860906531184,158.0,131.0,1,2
22,7,p11,42.4714,37.4477,42.097886254700576,16.037260681600564,1.2191346849302582,1.1483844701643189,187.0,145.0,1,0
23,8,p23,48.3348,39.8961,55.30177110591435,21.510843653612213,1.4204265732518524,1.396655503339498,284.0,263.0,1,1
24,8,p24,47.6451,40.0983,54.32850713915877,21.00486247645912,1.37505791150773,1.44054621750265,284.0,263.0,1,1
25,8,p61,53.6658,28.4073,51.58821737082432,45.61334404318204,1.569202459850226,1.3945670915928907,289.0,271.0,1,1
26,9,p112,63.8124,35.3201,56.44175240615489,49.717042747130186,0.5066727247444843,1.0606757574377697,369.0,326.0,1,2
27,9,p113,62.997,34.8917,58.703025260549715,48.81968024336065,0.8342806781893009,0.95143238355882,361.0,324.0,1,0
28,9,p114,79.7132,46.6176,61.09899990965511,50.268822393466394,1.914184714179904,1.4685555965643968,351.0,330.0,1,2
29,10,p150,65.2913,48.8936,67.44299779128711,31.615626661344727,1.040306709581362,1.244479756198301,423.0,356.0,1,0
30,10,p151,65.9065,47.9347,68.38170645623859,32.137871869252216,0.6044769639944934,1.2888774487312358,422.0,358.0,1,0
31,11,p115,70.77600000000002,40.3887,52.52887318603632,44.67472091529221,1.2784070165639736,1.0790128514274615,388.0,357.0,1,1
32,11,p116,62.9703,35.0795,59.32495317577524,52.94455156400882,1.154263821662968,1.1383216388093536,388.0,364.0,1,0
33,11,p117,63.652,34.5279,59.49627501048595,51.45815366535813,1.116670358700364,1.0994952842836685,386.0,363.0,1,1
34,11,p152,61.6426,44.8628,72.70924512635219,35.71398468204102,0.0021095023109728986,1.0325136949142415,399.0,372.0,1,2
35,11,p153,60.9805,44.3899,71.62740066553951,34.4453424649233,0.004924428900898052,1.0258879447805804,398.0,369.0,1,2
36,12,p118,69.1265,38.6776,63.27316552071046,54.20553157594836,0.5435437148932917,1.7876319415337416,416.0,391.0,1,1
37,12,p154,65.9866,50.0088,70.74176701076068,33.00453704918091,0.6665443196067311,1.102283531735866,423.0,396.0,1,0
38,12,p155,66.9933,49.4688,71.73939787000441,33.897736638698234,0.6567704012819092,1.4477341806746895,421.0,398.0,1,0
39,13,p119,63.358,34.9801,54.80092298402006,49.48029096205076,1.0308475396488077,1.189924380547218,441.0,421.0,1,0
40,13,p120,63.6965,35.1697,56.77582457295468,50.27723564792739,0.9304697415821752,1.3498779546435382,438.0,421.0,1,0
41,13,p156,57.8088,43.9823,61.08277573899334,30.478067802091022,0.7930165319840438,1.6553732970543962,423.0,412.0,1,0
42,13,p157,57.5876,43.4424,60.79817963977963,31.097268175733902,0.8920466467623764,1.5930855998275373,422.0,413.0,1,0
43,14,p119,63.358,34.9801,54.80092298402006,49.48029096205076,1.0308475396488077,1.189924380547218,441.0,421.0,1,0
44,14,p120,63.6965,35.1697,56.77582457295468,50.27723564792739,0.9304697415821752,1.3498779546435382,438.0,421.0,1,0
45,15,p63,52.9339,27.1918,45.89984050147194,45.534708426460206,1.3996078379317545,1.1169367896594429,471.0,442.0,1,0
46,16,p41,50.0263,40.5485,55.695398982844324,22.290897516673347,1.0736705360584315,1.6105378629792773,464.0,447.0,1,0
47,16,p42,46.8612,39.9235,50.606196039976844,21.14506045871904,1.1785238436281211,1.3519458682043208,466.0,445.0,1,0
48,16,p43,50.0413,41.3907,54.693379965602865,23.32364054999618,1.1684412907801571,1.4952766449492876,468.0,450.0,1,0
49,16,p44,48.4323,41.0425,56.37547634256658,21.512935826722632,0.6288086592915209,1.305311049191778,476.0,450.0,1,1
50,16,p45,48.2349,40.5071,55.930089281660365,21.733985871065613,0.6168415112490404,1.1668963493465574,478.0,449.0,1,0
51,16,p64,54.5846,28.8669,51.68046231427081,45.19938213370674,1.687998892179731,1.5661945233970247,481.0,466.0,1,1
52,17,p66,54.1942,28.9128,47.74455345223946,46.26006377617946,1.0623012049320095,1.467533052772784,506.0,475.0,1,1
53,18,p121,64.4647,36.6719,58.17894505838312,51.68088484336975,1.40148334631561,1.4709951202400895,478.0,459.0,1,2
54,19,p66,54.1942,28.9128,47.74455345223946,46.26006377617946,1.0623012049320095,1.467533052772784,506.0,475.0,1,1
55,20,p46,47.6631,39.356,51.73810943534627,19.918080702336198,0.3980815243138017,1.5508747623041623,525.0,500.0,1,1
56,20,p47,48.4422,40.1174,52.73448335058648,20.277763135606047,0.7189353030697546,1.4412012655888198,527.0,500.0,1,0
57,20,p48,48.3645,40.973,58.02444741926661,25.41737848294456,0.7693077992585283,1.1895539251755738,528.0,505.0,1,0
58,20,p67,54.7676,30.4849,51.839070575937576,45.15323333961426,0.4716555098798274,1.095559846400192,517.0,489.0,1,2
59,20,p68,54.9375,29.7782,50.33473821471984,45.551006929789544,1.2484275709867994,1.1677338299637918,517.0,496.0,1,2
60,21,p160,61.9501,45.3412,69.24495533567749,30.478709475564976,0.1487231320272674,1.6622585980159017,549.0,517.0,1,0
61,22,p122,68.3845,38.0029,54.12831640721856,47.593623534191615,1.2119786961824042,1.135782183162222,537.0,514.0,1,1
62,23,p49,48.1618,40.4662,51.67157289004532,20.14494762150757,0.7824356075741953,1.073720583434871,559.0,526.0,1,1
63,23,p50,47.2283,40.1491,50.9700111773273,19.324103946814407,0.7502487654105137,1.2305759165144845,558.0,526.0,1,0
64,24,p70,53.8197,26.575,47.72067479993914,45.5897806150851,0.9926541442012924,0.8983346774789593,568.0,531.0,1,0
65,24,p71,54.0745,26.9216,48.98119002478695,44.717289381318025,1.0479167237905882,0.9266940660229692,564.0,531.0,1,0
66,25,p49,48.1618,40.4662,51.67157289004532,20.14494762150757,0.7824356075741953,1.073720583434871,559.0,526.0,1,0
67,25,p50,47.2283,40.1491,50.9700111773273,19.324103946814407,0.7502487654105137,1.2305759165144845,558.0,526.0,1,0
68,26,p161,73.1231,53.0881,65.94190336426905,32.058577139142606,1.424017935280311,1.4505523431357394,552.0,527.0,1,1
69,26,p162,66.9526,49.2798,67.41347559605744,30.485802703486662,1.1254004442863883,1.340239325223462,553.0,531.0,1,0
70,26,p163,66.7164,50.1,66.9557467974289,29.52013811643739,1.2989584327452517,1.3033611347913696,555.0,530.0,1,0
71,27,p51,50.2499,39.9201,54.14098456539054,20.015685458581235,1.1081762540318216,1.3813261221638369,575.0,553.0,1,0
72,27,p52,49.3001,41.1421,52.81701913657538,20.854274722041605,1.0636178119982758,1.3458856727865876,573.0,550.0,1,0
73,28,p53,47.0862,39.8887,46.285899660596684,17.15409505087421,0.8214692021007238,1.1080356103109184,601.0,567.0,1,0
74,28,p54,46.1625,40.1041,45.10018837282082,18.281713823657995,0.834124049527407,1.1124912807759282,600.0,567.0,1,1
75,29,p225,41.1,20.4288,24.01972954915471,29.72778764499125,0.6036998012257416,1.066317929947084,632.0,600.0,1,0
76,29,p226,38.6972,19.3151,20.622085639349148,26.666152944205184,1.4623909361042964,1.1826799145315745,631.0,603.0,1,0
77,30,p228,31.0093,13.5491,28.484870058546573,32.89898457307395,2.1281937529275847,1.5990508837138386,689.0,668.0,1,1
78,31,p177,42.4915,36.3709,41.78527483305043,12.87595726960511,1.1252204628427267,1.4453512136641222,707.0,673.0,1,0
79,32,p183,50.2952,41.28100000000001,59.37064470126563,31.274577625229693,1.1714365753210885,1.6295201715332788,717.0,707.0,1,0
80,32,p184,50.9446,41.0721,60.00009491740571,32.04353494580451,1.1324757392544886,1.6466631053187155,717.0,708.0,1,0
81,33,p188,44.6879,38.0463,50.48836461118419,20.554331802442857,1.6238268934834157,1.6109738729874483,774.0,750.0,1,1
82,34,p189,48.6171,40.7565,56.88884327654301,24.93727194737401,0.9924755412603375,1.0978703205266556,794.0,750.0,1,2
83,34,p191,48.5421,40.0582,57.927239078265174,26.10409053479223,1.1982804346228808,1.2208681768066103,792.0,770.0,1,2
84,34,p192,50.6303,40.8018,59.463536269690316,30.711615798724278,1.4893491531538197,1.5539701253496798,790.0,779.0,1,0
85,35,p193,52.227,40.5194,58.52433398327504,30.523871202065223,0.6796131325982451,0.9524519291676904,804.0,785.0,1,0
86,35,p194,49.2882,40.29,56.74058063282649,25.318479280713767,1.4797378044775369,1.5787244026499985,808.0,793.0,1,1
87,36,p193,52.227,40.5194,58.52433398327504,30.523871202065223,0.6796131325982451,0.9524519291676904,804.0,785.0,1,1
88,37,p197,49.7677,40.8681,57.452691932374144,24.637360452205247,1.059816531292091,1.3375608259079752,827.0,805.0,1,0
89,38,p292,68.05199999999999,36.3402,66.9405346969003,54.88924798058303,1.2043197997209878,1.2016398973937763,809.0,785.0,1,2
90,38,p325,64.9798,47.5904,76.04371510070543,36.504450787515275,0.5356182409141794,0.9207930344771446,838.0,797.0,1,1
91,39,p197,49.7677,40.8681,57.452691932374144,24.637360452205247,1.059816531292091,1.3375608259079752,827.0,805.0,1,0
92,40,p199,49.354,40.809,57.61809173449903,25.191812180478745,0.5334155040866361,1.113358652191574,861.0,832.0,1,0
93,40,p233,55.8044,35.6578,49.208741396680146,45.01310233381025,0.7196347128925897,1.4393488766045126,847.0,836.0,1,2
94,41,p200,48.5306,40.7833,57.71883937303579,24.66982649621823,0.8873460711582599,1.117988226835693,880.0,856.0,1,2
