,scenario_id,roaduser_id,strategy,max_speed
46,43,v53,1,3.824219458322752
47,44,v55,1,3.8591260303631136
48,45,v55,1,3.8591260303631136
49,46,v84,1,1.9426590637147885
50,46,v330,1,1.0286876098993891
51,47,v57,1,4.435580395933175
52,48,v84,1,1.9426590637147885
53,49,v87,1,2.3395371795910807
54,50,v58,1,3.3585970812793327
55,51,v89,1,4.5544703327857565
56,52,v61,1,3.928288696409035
57,52,v62,1,3.9307169016018935
58,53,v64,1,2.9895475005376535
59,54,v65,1,4.975885706355133
60,55,v90,1,3.5514103208917485
61,56,v59,1,3.9274627866430682
62,57,v91,1,2.2243835865168875
63,58,v78,1,2.8242708097393843
64,59,v85,1,3.2956095954813796
65,60,v57,1,4.435580395933175
66,61,v89,1,4.5544703327857565
67,62,v87,1,2.3395371795910807
68,63,v116,1,3.0273524586439438
69,64,v119,1,6.2736389789523255
70,65,v121,1,4.3960308391165315
71,66,v122,1,5.269218083513931
72,67,v96,1,2.5057999584581423
73,68,v96,1,2.5057999584581423
74,69,v308,1,1.341910655933884
75,70,v126,1,3.846230947732472
76,70,v127,1,2.336304518884647
77,71,v97,1,1.5856504361965813
78,71,v98,1,1.7143221068777112
79,72,v127,1,2.336304518884647
80,73,v128,1,2.2777434975818704
81,73,v129,1,2.444026671634266
82,74,v99,1,3.7954711575356233
83,75,v128,1,2.2777434975818704
84,75,v129,1,2.444026671634266
85,76,v101,1,3.9683667498617567
86,77,v104,1,2.353909665076704
87,78,v103,1,3.095758778630835
88,79,v104,1,2.353909665076704
89,80,v106,1,3.5437464747608165
90,81,v313,1,2.518877665866561
