,scenario_id,roaduser_id,strategy
5,6,v25,2
10,10,v31,2
14,13,v10,2
18,16,v14,2
21,19,v37,2
22,20,v37,2
29,27,v16,2
35,33,v49,2
37,35,v51,2
56,52,v61,2
58,53,v64,2
72,67,v96,2
73,68,v96,2
83,75,v128,2
84,75,v129,2
85,76,v101,2
110,97,v68,2
111,98,v40,2
112,98,v67,2
115,100,v80,2
116,100,v301,2
120,102,v127,2
122,103,v199,2
