,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,group_size,group_number,group_id
0,1,161.0,16.42391051794656,59.003445217024435,19.27739653481124,49.49565613399886,2,3,393,374,3,2,2,0
1,1,162.0,17.078527643083856,59.44815448478355,18.87869023110751,50.488396571676226,2,3,393,374,3,2,2,0
2,1,163.0,17.42814852225234,60.53966158781075,17.68220398942763,47.9779411729747,2,3,393,374,1,0,0,100
3,1,10.0,17.765331899389196,39.276494225256826,14.600523635682478,53.310956412347934,2,3,393,374,3,2,2,1
4,1,12.0,19.03686795569953,38.911712913669454,15.889623376426751,53.022503315695765,2,3,393,374,3,2,2,1
5,2,30.0,19.00612280907187,24.06950440759431,15.79607611576271,52.636653964325056,2.0,3.0,706,666,3,5,5,0
6,2,31.0,19.591319996863863,23.896045726086484,16.50739118978968,52.1624450413721,2.0,3.0,706,666,3,5,5,0
7,2,32.0,20.185664684502687,23.870084387962546,17.061021822577274,52.83442417878469,2.0,3.0,706,666,3,5,5,0
8,2,33.0,19.11184040426967,23.851366934410063,15.992252603825648,51.41920554630132,2.0,3.0,706,666,3,5,5,0
9,2,35.0,19.823602575729506,21.601586445209943,17.15721478822356,49.514569864506655,2.0,3.0,706,666,3,5,5,0
10,2,37.0,20.088408727639692,17.38520168937927,17.949534934574565,43.41374225808239,2.0,3.0,706,666,3,3,5,1
11,2,38.0,19.62196654901494,16.358193435425555,18.605204350539385,42.56228479513688,2.0,3.0,706,666,3,3,5,1
12,2,39.0,20.328885087755708,16.059374171641863,19.33021554979159,43.18677381335215,2.0,3.0,706,666,3,3,5,1
13,2,29.0,19.85886710329647,28.67859147760305,16.502462671657238,57.333038570010814,2.0,3.0,706,666,1,0,0,100
14,2,174.0,18.493641655618156,49.191314252183844,20.242168121651737,18.669703391814874,2.0,3.0,706,666,1,0,0,101
15,2,177.0,15.418445501265682,56.06513482416665,17.865130375724235,29.520137294580817,2.0,3.0,706,666,1,0,0,102
16,2,180.0,15.99374998431346,60.510092412924685,20.005367186569977,33.952239381300046,2.0,3.0,706,666,3,2,5,2
17,2,181.0,14.945481082001633,60.07297732247461,18.532135623861354,33.45457748265449,2.0,3.0,706,666,3,2,5,2
