,scenario_id,roaduser_id,strategy
3,4,v23,0
5,6,v25,0
10,10,v31,0
11,11,v31,0
14,13,v10,0
21,19,v37,0
22,20,v37,0
24,22,v38,0
27,25,v15,0
29,27,v16,0
30,28,v40,0
33,31,v69,0
35,33,v49,0
52,48,v84,0
53,49,v87,0
58,53,v64,0
73,68,v96,0
74,69,v308,0
78,71,v98,0
83,75,v128,0
90,81,v313,0
95,83,v109,0
101,89,v96,0
109,97,v40,0
111,98,v40,0
112,98,v67,0
116,100,v301,0
122,103,v199,0
